jurisdiction,state,month,deaths,crude_rate
United States,United States,2018-01-01,5659,1.7
United States,United States,2018-02-01,5244,1.6
United States,United States,2018-03-01,5793,1.8
United States,United States,2018-04-01,5555,1.7
United States,United States,2018-05-01,5773,1.8
United States,United States,2018-06-01,5817,1.8
United States,United States,2018-07-01,5940,1.8
United States,United States,2018-08-01,5836,1.8
United States,United States,2018-09-01,5500,1.7
United States,United States,2018-10-01,5522,1.7
United States,United States,2018-11-01,5177,1.6
United States,United States,2018-12-01,5551,1.7
United States,United States,2019-01-01,5519,1.7
United States,United States,2019-02-01,5180,1.6
United States,United States,2019-03-01,5887,1.8
United States,United States,2019-04-01,5562,1.7
United States,United States,2019-05-01,5829,1.8
United States,United States,2019-06-01,5807,1.8
United States,United States,2019-07-01,6162,1.9
United States,United States,2019-08-01,6194,1.9
United States,United States,2019-09-01,5882,1.8
United States,United States,2019-10-01,6133,1.9
United States,United States,2019-11-01,6176,1.9
United States,United States,2019-12-01,6299,1.9
United States,United States,2020-01-01,6490,2
United States,United States,2020-02-01,6388,1.9
United States,United States,2020-03-01,7198,2.2
United States,United States,2020-04-01,7882,2.4
United States,United States,2020-05-01,9375,2.8
United States,United States,2020-06-01,8138,2.5
United States,United States,2020-07-01,8475,2.6
United States,United States,2020-08-01,8216,2.5
United States,United States,2020-09-01,7461,2.3
United States,United States,2020-10-01,7333,2.2
United States,United States,2020-11-01,7271,2.2
United States,United States,2020-12-01,7572,2.3
United States,United States,2021-01-01,8777,2.6
United States,United States,2021-02-01,7706,2.3
United States,United States,2021-03-01,9300,2.8
United States,United States,2021-04-01,9428,2.8
United States,United States,2021-05-01,9279,2.8
United States,United States,2021-06-01,9020,2.7
United States,United States,2021-07-01,9355,2.8
United States,United States,2021-08-01,9349,2.8
United States,United States,2021-09-01,8941,2.7
United States,United States,2021-10-01,8730,2.6
United States,United States,2021-11-01,8254,2.5
United States,United States,2021-12-01,8560,2.6
United States,United States,2022-01-01,8992,2.7
United States,United States,2022-02-01,8492,2.5
United States,United States,2022-03-01,9214,2.8
United States,United States,2022-04-01,8558,2.6
United States,United States,2022-05-01,8873,2.7
United States,United States,2022-06-01,8899,2.7
United States,United States,2022-07-01,9517,2.8
United States,United States,2022-08-01,9165,2.7
United States,United States,2022-09-01,8835,2.6
United States,United States,2022-10-01,9084,2.7
United States,United States,2022-11-01,8827,2.6
United States,United States,2022-12-01,9485,2.8
United States,United States,2023-01-01,9257,2.7
United States,United States,2023-02-01,8434,2.5
United States,United States,2023-03-01,9510,2.8
United States,United States,2023-04-01,9223,2.7
United States,United States,2023-05-01,9493,2.8
United States,United States,2023-06-01,8911,2.6
United States,United States,2023-07-01,9389,2.8
United States,United States,2023-08-01,9189,2.7
United States,United States,2023-09-01,8087,2.4
United States,United States,2023-10-01,8049,2.4
United States,United States,2023-11-01,7635,2.3
United States,United States,2023-12-01,7830,2.3
United States,United States,2024-01-01,7921,2.3
United States,United States,2024-02-01,7271,2.1
United States,United States,2024-03-01,7359,2.2
United States,United States,2024-04-01,7116,2.1
United States,United States,2024-05-01,7141,2.1
United States,United States,2024-06-01,6985,2.1
United States,United States,2024-07-01,6851,2
United States,United States,2024-08-01,6278,1.8
United States,United States,2024-09-01,5574,1.6
United States,United States,2024-10-01,5633,1.7
United States,United States,2024-11-01,5451,1.6
United States,United States,2024-12-01,5804,1.7
United States,United States,2025-01-01,6383,1.9
United States,United States,2025-02-01,5785,1.7
United States,United States,2025-03-01,6584,1.9
United States,United States,2025-04-01,6055,1.8
United States,United States,2025-05-01,6026,1.8
United States,United States,2025-06-01,5954,1.8
United States,United States,2025-07-01,5924,1.7
United States,United States,2025-08-01,5597,1.6
United States,United States,2025-09-01,4997,1.5
United States,United States,2025-10-01,5058,1.5
United States,United States,2025-11-01,4961,1.5
Alabama,Alabama,2018-01-01,56,1.1
Alaska,Alaska,2018-01-01,11,1.5
Arizona,Arizona,2018-01-01,146,2
Arkansas,Arkansas,2018-01-01,37,1.2
California,California,2018-01-01,475,1.2
Colorado,Colorado,2018-01-01,100,1.8
Connecticut,Connecticut,2018-01-01,66,1.8
Delaware,Delaware,2018-01-01,27,2.8
Florida,Florida,2018-01-01,438,2.1
Georgia,Georgia,2018-01-01,100,1
Hawaii,Hawaii,2018-01-01,17,1.2
Idaho,Idaho,2018-01-01,14,0.8
Illinois,Illinois,2018-01-01,242,1.9
Indiana,Indiana,2018-01-01,138,2.1
Iowa,Iowa,2018-01-01,27,0.9
Kansas,Kansas,2018-01-01,30,1
Kentucky,Kentucky,2018-01-01,109,2.4
Louisiana,Louisiana,2018-01-01,102,2.2
Maine,Maine,2018-01-01,28,2.1
Maryland,Maryland,2018-01-01,212,3.5
Massachusetts,Massachusetts,2018-01-01,208,3
Michigan,Michigan,2018-01-01,243,2.4
Minnesota,Minnesota,2018-01-01,47,0.8
Mississippi,Mississippi,2018-01-01,23,0.8
Missouri,Missouri,2018-01-01,124,2
Montana,Montana,2018-01-01,11,1
Nevada,Nevada,2018-01-01,57,1.9
New Hampshire,New Hampshire,2018-01-01,29,2.1
New Jersey,New Jersey,2018-01-01,218,2.5
New Mexico,New Mexico,2018-01-01,41,2
New York,New York,2018-01-01,374,1.9
North Carolina,North Carolina,2018-01-01,199,1.9
North Dakota,North Dakota,2018-01-01,10,1.3
Ohio,Ohio,2018-01-01,298,2.6
Oklahoma,Oklahoma,2018-01-01,69,1.8
Oregon,Oregon,2018-01-01,58,1.4
Pennsylvania,Pennsylvania,2018-01-01,361,2.8
Rhode Island,Rhode Island,2018-01-01,20,1.9
South Carolina,South Carolina,2018-01-01,86,1.7
Tennessee,Tennessee,2018-01-01,136,2
Texas,Texas,2018-01-01,237,0.8
Utah,Utah,2018-01-01,51,1.6
Vermont,Vermont,2018-01-01,10,1.6
Virginia,Virginia,2018-01-01,98,1.2
Washington,Washington,2018-01-01,94,1.2
West Virginia,West Virginia,2018-01-01,61,3.4
Wisconsin,Wisconsin,2018-01-01,86,1.5
Alabama,Alabama,2018-02-01,73,1.5
Arizona,Arizona,2018-02-01,99,1.4
Arkansas,Arkansas,2018-02-01,22,0.7
California,California,2018-02-01,419,1.1
Colorado,Colorado,2018-02-01,80,1.4
