jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
United States,United States,33.1,51.5,23,5.6,26.6,64.7,18.8,32
Alabama,Alabama,33.1,32,12.8,,,,,30.8
Alaska,Alaska,34.5,67.4,37.2,,,89.8,59.9,43.9
Arizona,Arizona,34.3,62.9,33.1,7.5,,74.7,32.6,36.9
Arkansas,Arkansas,18.5,21.2,7.3,,,,,17.2
California,California,39.8,69.3,22.7,6,37,74.3,27.5,29.5
Colorado,Colorado,30.6,66.8,37.3,9.6,,114.1,17.5,33.3
Connecticut,Connecticut,35.4,61.7,42,,,,18.5,37.7
Delaware,Delaware,54,72.5,38,,,,,53.5
Florida,Florida,43.8,27.1,17.3,5.7,,40.7,16.2,32.4
Georgia,Georgia,29,22,9,4.7,,,4.4,23
Hawaii,Hawaii,31,,24.4,5.4,22.6,,30.2,21.9
Idaho,Idaho,19.4,,17.2,,,60.5,,19.3
Illinois,Illinois,22.7,75.7,19.9,4.7,,,9.7,29.4
Indiana,Indiana,32.9,57.3,23.8,5.3,,,,33.2
Iowa,Iowa,13.7,36.5,7.2,,,,,13.9
Kansas,Kansas,22,43.1,17,,,,21.7,23
Kentucky,Kentucky,48.2,75.6,25.1,,,,12.8,48
Louisiana,Louisiana,49.7,55.4,40.6,11.7,,46.7,,49.7
Maine,Maine,44.6,96.4,,,,147.6,,45.8
Maryland,Maryland,39.8,61.8,22.8,4.9,,,12.1,41.5
Massachusetts,Massachusetts,33.6,61.9,44.1,5.1,,,13.6,34.9
Michigan,Michigan,24.2,63.5,26.5,2.9,,40.3,17.8,29.4
Minnesota,Minnesota,16.1,79.9,23.4,7.1,,255.4,41.5,24
Mississippi,Mississippi,27.7,11.9,,,,,,20.7
Missouri,Missouri,29.2,80.5,19.4,,,,19.5,34
Montana,Montana,13.8,,,,,50,,16
Nebraska,Nebraska,8.5,32.5,5.4,,,,,9.3
Nevada,Nevada,51.7,53.4,22.2,8.8,,83.5,27.7,39.1
New Hampshire,New Hampshire,33.7,67.1,24.9,,,,,32.5
New Jersey,New Jersey,28,65.4,23.6,3,,,11.6,29
New Mexico,New Mexico,41.6,74.5,50.7,,,53.5,,47.4
New York,New York,27.8,60.1,38.1,5.1,,50.6,11.2,32.9
North Carolina,North Carolina,32.9,38.3,15.7,3.5,,57.6,8.9,31
North Dakota,North Dakota,12.1,,36,,,95.6,,17.7
Ohio,Ohio,40.5,71.1,36,3.5,,,8.5,42.4
Oklahoma,Oklahoma,31.2,50.2,19.9,,,48.3,21.5,31.6
Oregon,Oregon,43.9,143.1,28.1,10.5,,104.3,39.6,43.2
Pennsylvania,Pennsylvania,33.3,82,42.3,6,,,17.4,38.2
Rhode Island,Rhode Island,39,43.5,36.5,,,,,38.2
South Carolina,South Carolina,48.4,39.4,19.8,,,83,13.6,42.9
South Dakota,South Dakota,7.6,,,,,32.8,,9.3
Tennessee,Tennessee,54.1,70.1,32,11.3,,,20.6,53.9
Texas,Texas,24.4,29.2,12.5,3.6,,12.2,5.6,18.8
Utah,Utah,21,46.2,14.1,,,43.1,15.1,19.7
Virginia,Virginia,27.1,49.5,16.7,4.5,,,13.5,28.6
Washington,Washington,45.4,118.6,32.4,9.9,49.1,164.6,44.1,45
West Virginia,West Virginia,77.4,158,43.5,,,,,77.9
Wisconsin,Wisconsin,24,97.1,33.7,6.4,,126.4,11.5,29.5
Wyoming,Wyoming,20.5,,28.7,,,,,22
Calhoun County,Alabama,50.4,43.1,,,,,,47.5
Jefferson County,Alabama,75.8,78.3,47.8,,,,,73.5
Madison County,Alabama,32.7,18,,,,,,26.8
Mobile County,Alabama,39.3,24,,,,,,31.6
Montgomery County,Alabama,32,10.2,,,,,,18.1
Tuscaloosa County,Alabama,19.7,14.3,,,,,,16.5
Anchorage Borough,Alaska,54.4,88.3,56,,,245.8,91.7,70
Cochise County,Arizona,27.7,,35.5,,,,,32.6
Maricopa County,Arizona,37.1,69.3,36.5,7.6,,176,33.9,40.1
Pima County,Arizona,40.9,65.5,39.6,,,133.4,57.6,47.2
Pinal County,Arizona,14.2,,14.9,,,,,15.7
Yuma County,Arizona,26.7,,15.3,,,,,18.8
Pulaski County,Arkansas,33.4,30.1,,,,,,30.3
Alameda County,California,26.9,85.8,29.6,3.1,,,17.1,25.4
Butte County,California,80,,25.3,,,,,67.5
Contra Costa County,California,25,42.3,18.3,4.4,,,,20.4
Fresno County,California,30.3,57.3,17.2,,,,,21.5
Humboldt County,California,61.7,,,,,186.2,,63
Kern County,California,84.6,106.4,33.3,45.9,,,76.8,54.9
Kings County,California,29.1,,26.2,,,,,28.8
Los Angeles County,California,34.6,63.5,20.1,5.7,46.7,60.3,20.5,25.2
Mendocino County,California,73.4,,39.8,,,,,64.6
Merced County,California,37.3,,14.2,,,,,22.4
Monterey County,California,48.5,,21.6,,,,,30.7
Orange County,California,37.5,61.5,24.4,4.2,,,23.6,25.7
Placer County,California,17.5,,20.1,,,,,18
Riverside County,California,51.1,38.5,24.6,6.8,,,48.9,34.1
Sacramento County,California,51.5,79,32.2,9.8,,,37,41.2
San Bernardino County,California,42.3,29.2,17.9,,,,30.5,24
San Diego County,California,35,74.9,25.1,6.4,,,25.9,29.6
San Francisco County,California,77.1,443,108.5,10.8,,,72.9,92.4
San Joaquin County,California,38.3,61,23.1,7,,,,27.1
San Luis Obispo County,California,38,,23.5,,,,,33
San Mateo County,California,20.9,81.2,17.9,4.7,,,,16.3
Santa Barbara County,California,42.1,,23.3,,,,,32.4
Santa Clara County,California,34.6,77.2,29.2,4.2,,,,21.5
Santa Cruz County,California,61.5,,38.4,,,,,54.1
Solano County,California,36.9,53.9,20.7,,,,,29.6
Sonoma County,California,31.1,,17.9,,,,,26.3
Stanislaus County,California,54.9,,19.8,,,,,33
Tulare County,California,28.2,,12.2,,,,,17.2
Ventura County,California,39.1,,24,,,,,30.1
Yolo County,California,27.6,,16.7,,,,,21.2
Adams County,Colorado,42.1,75.8,35.3,,,,,39.6
Arapahoe County,Colorado,32.2,43.2,35.6,,,,,32.6
Denver County,Colorado,67.9,109.2,70.1,,,455.3,,72.2
El Paso County,Colorado,31,45.4,27.8,,,,,31.5
Jefferson County,Colorado,30.3,,45.6,,,,,33.2
Pueblo County,Colorado,39.6,,45.7,,,,,47.2
Weld County,Colorado,16.2,,20.3,,,,,16.6
Fairfield County,Connecticut,23.9,43,27.3,,,,,24.4
Hartford County,Connecticut,38.6,69.4,64.4,,,,,44.8
New Haven County,Connecticut,56.1,91.6,51.7,,,,,56.2
Kent County,Delaware,55.4,54.7,,,,,,51.9
New Castle County,Delaware,57.2,76.9,32.2,,,,,55.8
Sussex County,Delaware,48.2,81.7,40.2,,,,,49.6
"Washington, D.C.","Washington, D.C.",22.2,154.2,30.4,,,,,79.2
Alachua County,Florida,31.8,23.2,,,,,,23.6
Brevard County,Florida,48.8,29.6,19.7,,,,,41.5
Broward County,Florida,58.8,21.4,16.3,,,,,31.5
Collier County,Florida,30.1,,17.3,,,,,25.4
Duval County,Florida,72.2,37.1,39.2,,,,,52.8
Escambia County,Florida,72.6,80,,,,,,66.2
Hillsborough County,Florida,45.5,28,25.3,,,,29.5,34.3
Lake County,Florida,31.9,,15.7,,,,,26.1
Lee County,Florida,39.8,33.1,17.5,,,,,32.8
Leon County,Florida,17.2,10.6,,,,,,13.8
Manatee County,Florida,40.6,47.6,29.7,,,,,38
Marion County,Florida,66.5,42.6,23,,,,,54.5
Miami-Dade County,Florida,24.5,19.6,8.7,,,,,12.4
Okaloosa County,Florida,51.5,56.6,,,,,,46.7
Orange County,Florida,47.1,25.7,26.6,,,,,32.8
Osceola County,Florida,49.9,43,35,,,,,39.5
Palm Beach County,Florida,48.6,26.2,16.9,,,,,35.1
Pasco County,Florida,64.5,27.7,22.6,,,,,51.9
Pinellas County,Florida,56.4,41.5,39.2,,,,,50.9
Polk County,Florida,34.3,19.7,11.9,,,,,24.6
St. Lucie County,Florida,36.6,15.7,17.8,,,,,26.5
Sarasota County,Florida,31.2,56.4,23.1,,,,,30.7
Seminole County,Florida,34.1,,10.5,,,,,23.8
Volusia County,Florida,56.7,43.9,16.6,,,,,47.5
Bibb County,Georgia,46.9,18.2,,,,,,26.9
Chatham County,Georgia,53.6,21.5,,,,,,35.9
Clarke County,Georgia,47.1,48.6,,,,,,41.6
Clayton County,Georgia,92.7,16.1,,,,,,19.9
Cobb County,Georgia,28.7,24.3,,,,,,22.7
DeKalb County,Georgia,26,27.3,22.8,,,,,24.6
Dougherty County,Georgia,124.1,27.2,,,,,,48.2
Fulton County,Georgia,30.4,48.8,13.8,,,,,34.8
Gwinnett County,Georgia,33,11.5,11,,,,,17.1
Henry County,Georgia,35.3,9.9,,,,,,18.9
Muscogee County,Georgia,26,10.4,,,,,,16.8
Richmond County,Georgia,103.7,50.4,,,,,,64.4
Rockdale County,Georgia,43.2,20.8,,,,,,25.3
Hawaii County,Hawaii,33.6,,,,,,20.2,22.3
Honolulu County,Hawaii,27,,18.5,4.6,24,,33.7,19.7
Ada County,Idaho,23,,34.6,,,,,23.7
Canyon County,Idaho,21.8,,18.5,,,,,20.3
Champaign County,Illinois,31.3,68.6,,,,,,31
Cook County,Illinois,27.2,94,25.1,5.6,,,12.9,42.4
DuPage County,Illinois,14,,14.2,,,,,12.7
Kane County,Illinois,16.1,62.9,12.9,,,,,16.7
Kankakee County,Illinois,25.7,63.8,,,,,,30.2
Lake County,Illinois,19.3,60.8,13.2,,,,,18.9
Peoria County,Illinois,41.3,41.6,,,,,,37
St. Clair County,Illinois,30.2,24.7,,,,,,27.3
Sangamon County,Illinois,39.3,72,,,,,,42.7
Will County,Illinois,22.7,22.4,14,,,,,19.2
Winnebago County,Illinois,48.2,110.7,35.3,,,,,53.9
Allen County,Indiana,29,49.3,,,,,,30.1
Lake County,Indiana,39.7,44,25.9,,,,,36.8
Marion County,Indiana,82,73.3,48.8,,,,,70.1
St. Joseph County,Indiana,37.5,69.7,,,,,,37.5
Vanderburgh County,Indiana,27.2,55.1,,,,,,28.9
Polk County,Iowa,29.4,44.8,,,,,,27.5
Sedgwick County,Kansas,42.9,50.4,28.4,,,,,45.1
Wyandotte County,Kansas,65.1,77.8,19.3,,,,,48.9
Fayette County,Kentucky,68,59.8,53.5,,,,,61.2
Jefferson County,Kentucky,73.5,112.5,30,,,,,76.4
Ascension Parish,Louisiana,46.7,46.5,,,,,,42.2
