jurisdiction,state,deaths_past_year,crude_rate_past_year,crude_rate_four_years_ago,synthetics_pct_past_year,synthetics_pct_four_years_ago,population
Baldwin County,Alabama,36,13.8,27.1,0.5,0.662,261608
Calhoun County,Alabama,27,23.2,25.9,0.407,,116427
Colbert County,Alabama,23,39.1,19.1,0.609,,58785
DeKalb County,Alabama,15,20.5,13.9,,,73122
Etowah County,Alabama,20,19.4,27.2,0.75,0.536,103207
Houston County,Alabama,18,16.5,14,,,109366
Jefferson County,Alabama,234,35.2,60.3,0.645,0.804,664744
Lauderdale County,Alabama,22,22.6,17.9,,,97502
Lee County,Alabama,10,5.3,12.4,,0.545,187847
Madison County,Alabama,54,12.8,32.5,0.63,0.767,423355
Marshall County,Alabama,13,12.7,26.5,,0.423,102156
Mobile County,Alabama,97,23.5,27.3,0.412,0.442,412339
Montgomery County,Alabama,28,12.4,21.2,0.357,0.417,225894
Morgan County,Alabama,22,17.4,21.9,0.545,0.556,126084
St. Clair County,Alabama,21,21.7,34.5,0.571,0.719,96927
Shelby County,Alabama,18,7.6,23.3,,0.642,235969
Talladega County,Alabama,12,14.7,19.9,,0.812,81375
Tuscaloosa County,Alabama,29,12,23.2,,0.527,241212
Walker County,Alabama,32,49,40.3,0.719,,65260
Anchorage Borough,Alaska,212,73.2,48.8,0.741,0.624,289600
Fairbanks North Star Borough,Alaska,22,23.2,18.8,0.455,,94951
Juneau City and Borough,Alaska,10,31.7,34.4,,,31572
Kenai Peninsula Borough,Alaska,23,37.5,25,0.435,,61259
Matanuska-Susitna Borough,Alaska,26,22.1,25.2,0.615,0.5,117613
Apache County,Arizona,12,18.5,16.8,,,64800
Cochise County,Arizona,29,23.1,27,0.517,,125773
Coconino County,Arizona,38,26.2,32.9,0.5,0.426,145161
Gila County,Arizona,18,33.3,33.6,0.778,0.611,54073
Graham County,Arizona,11,27.3,36,,0.714,40242
La Paz County,Arizona,15,88.3,,,,16992
Maricopa County,Arizona,2052,43.9,40.1,0.745,0.688,4.6731e+06
Mohave County,Arizona,104,45.9,26.2,0.433,0.526,226479
Navajo County,Arizona,23,21,30.6,,0.364,109516
Pima County,Arizona,425,39.3,45.1,0.534,0.632,1.08015e+06
Pinal County,Arizona,76,14.8,22.9,0.684,0.699,513862
Santa Cruz County,Arizona,13,25.7,31.3,,0.733,50508
Yavapai County,Arizona,58,23,31.4,0.483,0.579,252013
Yuma County,Arizona,49,22.2,28.4,0.449,0.186,220310
Benton County,Arkansas,13,4,11.6,,,321566
Craighead County,Arkansas,12,10.4,17.9,,,115852
Garland County,Arkansas,15,15,29.9,,0.433,99902
