jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
United States,United States,34.4,48.5,21.7,5.5,20.8,61.2,17.0,32.0
Alabama,Alabama,31.7,27.4,13.2,,,,,28.6
Alaska,Alaska,24.8,,17.7,,,72.4,46.8,31.5
Arizona,Arizona,36.5,54.3,32.1,9.3,,63.8,40.2,36.7
Arkansas,Arkansas,22.2,19.7,6.5,,,,,19.8
California,California,39.0,59.3,21.3,6.3,29.5,71.8,25.6,28.0
Colorado,Colorado,29.0,53.5,37.0,6.7,,87.0,14.8,31.3
Connecticut,Connecticut,38.0,67.1,43.2,,,,17.1,40.8
Delaware,Delaware,59.4,66.4,21.8,,,,,53.7
Florida,Florida,47.8,28.3,17.2,5.4,,33.6,16.2,34.6
Georgia,Georgia,32.1,20.7,9.0,4.1,,,4.4,24.1
Hawaii,Hawaii,26.4,,15.6,8.3,16.0,,26.7,19.1
Idaho,Idaho,19.0,,8.8,,,75.6,,17.9
Illinois,Illinois,24.4,78.1,18.8,3.6,,,8.8,30.3
Indiana,Indiana,39.5,67.4,17.9,5.3,,,13.2,39.0
Iowa,Iowa,15.1,37.9,11.3,,,,16.3,15.6
Kansas,Kansas,24.0,43.1,18.5,,,52.1,30.2,25.0
Kentucky,Kentucky,50.9,73.5,26.2,,,,10.7,50.1
Louisiana,Louisiana,55.1,54.6,44.7,,,36.7,,52.6
Maine,Maine,48.1,77.1,,,,159.0,,49.2
Maryland,Maryland,42.5,55.8,18.8,5.4,,,7.3,40.5
Massachusetts,Massachusetts,37.3,60.2,44.7,4.3,,,15.7,37.8
Michigan,Michigan,25.1,58.5,26.0,4.3,,26.3,17.0,29.3
Minnesota,Minnesota,17.9,65.7,24.3,6.5,,245.4,33.7,24.0
Mississippi,Mississippi,32.5,11.9,11.4,,,,,23.4
Missouri,Missouri,30.7,81.4,18.1,,,,18.1,35.2
Montana,Montana,14.5,,23.7,,,57.6,,17.3
Nebraska,Nebraska,10.2,31.5,7.8,,,,,10.9
Nevada,Nevada,44.6,44.6,18.3,7.8,,49.4,21.2,32.5
New Hampshire,New Hampshire,35.9,76.1,35.8,,,,,35.6
New Jersey,New Jersey,31.8,64.9,25.5,3.3,,,8.4,31.4
New Mexico,New Mexico,39.4,81.7,50.2,,,47.0,,46.4
New York,New York,29.4,53.8,35.2,4.9,,52.3,8.1,32.0
North Carolina,North Carolina,42.7,41.5,17.7,4.0,,98.0,12.7,38.4
North Dakota,North Dakota,13.8,,27.7,,,85.0,,18.4
Ohio,Ohio,42.4,67.6,32.0,6.0,,52.7,6.7,43.3
Oklahoma,Oklahoma,29.8,40.2,15.0,,,39.9,23.6,28.8
Oregon,Oregon,31.7,75.0,17.4,6.2,,97.7,25.8,30.5
Pennsylvania,Pennsylvania,35.6,79.4,41.1,5.8,,52.8,15.8,39.6
Rhode Island,Rhode Island,37.9,49.3,43.2,,,,,38.9
South Carolina,South Carolina,50.3,34.2,18.4,,,51.9,,42.4
South Dakota,South Dakota,6.9,,,,,29.9,,9.2
Tennessee,Tennessee,54.1,69.0,30.7,,,,18.4,53.4
Texas,Texas,23.7,25.3,11.6,3.4,,11.2,3.4,17.6
Utah,Utah,18.9,34.0,14.3,,,43.1,,18.1
Vermont,Vermont,39.7,,67.3,,,,,39.1
Virginia,Virginia,29.2,46.2,14.2,2.6,,,8.9,28.5
Washington,Washington,34.3,73.5,24.5,7.0,32.2,140.1,31.8,33.2
West Virginia,West Virginia,73.7,122.0,,,,,,72.8
Wisconsin,Wisconsin,24.5,98.7,30.6,5.9,,128.4,15.0,29.7
Wyoming,Wyoming,18.6,,23.9,,,,,20.3
Jefferson County,Alabama,78.5,63.4,61.5,,,,,68.8
Madison County,Alabama,31.6,29.1,,,,,,28.5
Mobile County,Alabama,30.6,23.4,,,,,,26.0
Montgomery County,Alabama,42.2,11.7,,,,,,19.9
Anchorage Borough,Alaska,36.7,,,,,189.4,74.2,46.3
Cochise County,Arizona,33.5,,37.7,,,,,37.4
Maricopa County,Arizona,38.1,53.7,34.7,9.5,,148.4,40.1,39.0
Mohave County,Arizona,37.9,,32.5,,,,,38.0
Pima County,Arizona,44.9,76.0,36.4,,,86.3,48.7,44.5
Pinal County,Arizona,15.0,,13.6,,,,,16.6
Yuma County,Arizona,23.4,,16.0,,,,,20.2
Pulaski County,Arkansas,53.9,31.4,,,,,,41.1
Alameda County,California,26.5,60.3,19.1,4.4,,,18.5,20.6
Contra Costa County,California,23.0,44.3,14.1,4.9,,,,19.3
Fresno County,California,29.9,46.7,14.5,10.8,,,,20.0
Humboldt County,California,63.7,,67.2,,,,,60.7
Kern County,California,91.1,91.5,31.5,,,,,53.2
Los Angeles County,California,37.7,65.2,20.5,6.7,,71.3,29.8,26.6
Marin County,California,20.2,,27.4,,,,,23.4
Merced County,California,33.0,,11.5,,,,,18.6
